company,ticker,title,body,date,replies
GoPro,GPRO,Anyone heard about the layoffs happening this week?,200-300 in the Karma drone division - http://appleinsider.com/articles/18/01/05/gopro-laying-off-up-to-300-employees-mostly-from-karma-drone-division---report,2018-01-05,2
GoPro,GPRO,Massive Gopro layoffs in July 2017,"What do you know about this rumor? I am hearing that there may be massive layoffs planned for July but there is no postings on this - nothing on the internet. I've scoured a few boards and also checked an both Facebook groups - again, nothing written...
read more",2017-06-20,0
GoPro,GPRO,94 laid off by gopro in San Mateo,http://www.edd.ca.gov/jobs_and_training/warn/WARN-Report-for-7-1-2016-to-03-25-2017.pdf,2017-03-29,0
GoPro,GPRO,It'll get worse,https://www.fool.com/investing/2017/03/20/gopro-inc-soars-on-more-layoffs-but-dont-chase-the.aspx,2017-03-23,0
GoPro,GPRO,Gopro to announce 270+ job cuts - reported 1 day ago (CNBC),"GoPro has announced 270 job cuts and pre-announced that its first-quarter earnings would be at the high end of guidance, around $210 million. It also said it would cut operating expenses by more than $200 million and return to EBITDA profitability in...
read more",2017-03-16,1
GoPro,GPRO,I heard there were layoffs at San Mateo and Carlsbad this week. 100+?,no body text,2017-03-16,0
GoPro,GPRO,Its only going to get worse,I'm jumping ship..,2016-12-14,0
GoPro,GPRO,Why so quiet?,"I am sure people have a ton to share - look at other boards, lively... here... Silence",2016-11-23,0
GoPro,GPRO,heard GoPro is just cutting unproductive workers meaning its going to get leaner and meaner,no body text,2016-01-14,0
GoPro,GPRO,2016 Layoffs - 7% of the total - it's ugly,http://www.cnbc.com/2016/01/13/gopro-halted-for-news-pending.html,2016-01-14,0
Gogo Inc.,GOGO,The beginning of the end,"Laid off today. There will be more over the next few years. Poor business model, lack of process, lack of communication, bad spending, and top-heavy infrastructure finally caught up. Shouldn't be surprised. All I ever heard over the years was...
read more",2018-07-13,0
Goldcorp Inc.,GG,100 folks were let go - Red Lake,"Production and office staff, about 100, we are not that big and this will hurt us. The community will be affected as it's hard to find jobs right now. We have about 1500 people here, so this is about 7% of the overall employment. Not good, and if...
read more",2016-02-03,3
Golden Telecom Inc.,GLDN,"Business is shrinking, layoffs are looming",Will 2015 be better than 2014?,2014-07-22,0
Goldfield Corp.,GV,Just like everyone else,Just like it,2015-07-06,0
Goldman Sachs,GS,Whats going on with layoffs at Goldman Sachs?,"Any news on what's going on? My husband works at Goldman Sachs and I've been worried all day after the rumors came out yesterday about planned layoffs. He says nothing yet, but they haven't been told anything yet either. I was hoping to find out on...
read more",2019-02-28,0
